"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Session","3","0","Login","0"
"0","Multi-tenancy","0","Data Isolation","1","0","GET /findings","0"
"0","Assets","0","Validation","6","1","","0"
"0","Authentication","0","Authorization","1","11","","0"
"0","Assets","0","CRUD","6","1","","0"
"0","Multi-tenancy","0","Data Isolation","0","1","GET /assets/{id}","0"
"0","Findings","0","Validation","3","1","","0"
"0","Reports","0","RBAC","1","0","","0"
"0","Multi-tenancy","0","Data Isolation","0","1","PATCH /findings/{id}/status","0"
"0","Multi-tenancy","0","Data Isolation","0","1","DELETE /assets/{id}","0"
"0","Authentication","0","Session","1","1","Logout","0"
"0","Assets","0","RBAC","3","1","","0"
"0","Findings","0","Pagination","1","0","","0"
"0","Findings","0","RBAC","2","1","","0"
"0","Findings","0","Lifecycle","1","2","","0"
"0","Reports","0","Summary","2","1","","0"
"0","Discovery Scans","0","RBAC","1","1","","0"
"0","Findings","0","Filtering","2","2","","0"
"0","Multi-tenancy","0","Data Isolation","1","0","GET /reports/summary","0"
"0","Assets","0","Business Rules","0","1","","0"
"0","Multi-tenancy","0","Data Isolation","0","1","PUT /assets/{id}","0"
"0","Multi-tenancy","0","Data Isolation","1","0","GET /assets","0"
"0","Multi-tenancy","0","Data Isolation","1","0","POST /findings","0"
"0","Discovery Scans","0","Validation","1","0","","0"
"0","Multi-tenancy","0","Data Isolation","1","0","GET /scans/{id}/status","0"
"0","Discovery Scans","0","Lifecycle","1","0","","0"
"0","Authentication","0","Session","0","1","Refresh Token","0"
