"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Login with an unknown email is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","152","Findings are isolated between organizations","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","318","Login with the wrong password is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","71","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","227","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","72","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","70","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","72","Cross-org user cannot read another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","138","Reject creating a finding for a nonexistent asset","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","76","Analyst role can read the report summary","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"","155","Cross-org user cannot update another org's finding status","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","226","Cross-org user cannot delete another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","475","Logout revokes the refresh token","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","294","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","72","Analyst role cannot delete an asset","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","143","Findings list respects page and limit pagination params","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","79","Analyst role cannot create a finding","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","71","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","79","Reject a finding with empty title and description","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
